"purchases","country","name","genre_id","rowno"
"17","Argentina","Alternative & Punk","4","1"
"34","Australia","Rock","1","1"
"40","Austria","Rock","1","1"
"26","Belgium","Rock","1","1"
"205","Brazil","Rock","1","1"
"333","Canada","Rock","1","1"
"61","Chile","Rock","1","1"
"143","Czech Republic","Rock","1","1"
"24","Denmark","Rock","1","1"
"46","Finland","Rock","1","1"
"211","France","Rock","1","1"
"194","Germany","Rock","1","1"
"44","Hungary","Rock","1","1"
"102","India","Rock","1","1"
"72","Ireland","Rock","1","1"
"35","Italy","Rock","1","1"
"33","Netherlands","Rock","1","1"
"40","Norway","Rock","1","1"
"40","Poland","Rock","1","1"
"108","Portugal","Rock","1","1"
"46","Spain","Rock","1","1"
"60","Sweden","Rock","1","1"
"166","United Kingdom","Rock","1","1"
"561","USA","Rock","1","1"
